Sales Person,Geography,Product,Date,Amount,Boxes
Brien Boise,New Zealand,Drinking Coco,10/26/2021,364,15
Madelene Upcott,UK,White Choc,10/27/2021,7518,579
Marney O'Breen,Australia,85% Dark Bars,10/27/2021,10409,548
Karlen McCaffrey,UK,Orange Choco,10/27/2021,2303,116
Roddy Speechley,New Zealand,Milk Bars,10/27/2021,9331,584
Curtice Advani,New Zealand,Raspberry Choco,10/27/2021,392,18
Camilla Castle,New Zealand,Eclairs,10/27/2021,1568,262
Roddy Speechley,Australia,Caramel Stuffed Bars,10/27/2021,5033,297
Jehu Rudeforth,Australia,Eclairs,10/27/2021,4550,569
Dennison Crosswaite,USA,Eclairs,10/27/2021,6202,1050
Oby Sorrel,USA,Choco Coated Almonds,10/27/2021,6230,520
Andria Kimpton,Canada,Drinking Coco,10/27/2021,5376,200
Rafaelita Blaksland,New Zealand,50% Dark Bites,10/27/2021,11410,457
Kaine Padly,New Zealand,Baker's Choco Chips,10/27/2021,3192,133
Kaine Padly,India,Peanut Butter Cubes,10/27/2021,4886,272
Jehu Rudeforth,Canada,Manuka Honey Choco,10/27/2021,3304,151
Barr Faughny,USA,Organic Choco Syrup,10/27/2021,469,22
Gunar Cockshoot,UK,70% Dark Bites,10/27/2021,3304,368
Husein Augar,USA,Drinking Coco,10/27/2021,4375,175
Jan Morforth,Australia,Organic Choco Syrup,10/27/2021,2751,115
Wilone O'Kielt,India,Fruit & Nut Bars,10/27/2021,7896,494
Kaine Padly,New Zealand,Raspberry Choco,10/27/2021,9345,425
Jehu Rudeforth,New Zealand,Eclairs,10/27/2021,5355,910
Mallorie Waber,Canada,Manuka Honey Choco,10/27/2021,14,1
Van Tuxwell,New Zealand,Smooth Sliky Salty,10/27/2021,5460,683
Beverie Moffet,India,85% Dark Bars,10/27/2021,1141,64
Kelci Walkden,UK,Drinking Coco,10/27/2021,1932,75
Wilone O'Kielt,India,Mint Chip Choco,10/27/2021,1330,103
Dotty Strutley,UK,Fruit & Nut Bars,10/27/2021,12103,840
Camilla Castle,India,White Choc,10/27/2021,6643,511
Van Tuxwell,Canada,99% Dark & Pure,10/27/2021,6034,275
Dennison Crosswaite,Australia,Almond Choco,10/27/2021,6664,476
Jehu Rudeforth,Canada,Almond Choco,10/27/2021,13797,980
Camilla Castle,New Zealand,Mint Chip Choco,10/27/2021,1659,139
Andria Kimpton,UK,Manuka Honey Choco,10/27/2021,1890,83
Beverie Moffet,UK,White Choc,10/27/2021,112,10
Kaine Padly,USA,White Choc,10/27/2021,329,28
Curtice Advani,Canada,Almond Choco,10/27/2021,10829,677
Husein Augar,Australia,70% Dark Bites,10/27/2021,8302,1050
Mallorie Waber,USA,Milk Bars,10/27/2021,4123,243
Dotty Strutley,Australia,Eclairs,10/27/2021,5684,700
Dotty Strutley,Australia,85% Dark Bars,10/27/2021,581,31
Andria Kimpton,Australia,Organic Choco Syrup,10/27/2021,1869,78
Ches Bonnell,India,After Nines,10/27/2021,6881,405
Dennison Crosswaite,Canada,Almond Choco,10/27/2021,1554,98
Camilla Castle,New Zealand,Manuka Honey Choco,10/27/2021,5061,221
Kaine Padly,UK,Manuka Honey Choco,10/27/2021,4655,212
Husein Augar,Australia,Caramel Stuffed Bars,10/27/2021,4067,255
Karlen McCaffrey,Canada,After Nines,10/27/2021,4529,267
Ches Bonnell,Australia,Spicy Special Slims,10/27/2021,19159,2380
Gigi Bohling,Australia,After Nines,10/27/2021,4340,272
Beverie Moffet,Canada,Milk Bars,10/27/2021,7679,452
Andria Kimpton,Canada,Smooth Sliky Salty,10/27/2021,714,90
Dotty Strutley,India,50% Dark Bites,10/27/2021,3801,141
Roddy Speechley,Australia,Smooth Sliky Salty,10/27/2021,6461,840
Marney O'Breen,USA,Organic Choco Syrup,10/27/2021,7539,328
Wilone O'Kielt,India,Choco Coated Almonds,10/27/2021,6524,594
Van Tuxwell,New Zealand,Peanut Butter Cubes,10/28/2021,7721,455
Dotty Strutley,USA,Baker's Choco Chips,10/28/2021,3619,158
Dotty Strutley,India,Almond Choco,10/28/2021,8015,573
Madelene Upcott,USA,99% Dark & Pure,10/28/2021,5866,267
Wilone O'Kielt,UK,Orange Choco,10/28/2021,2835,158
Karlen McCaffrey,New Zealand,Peanut Butter Cubes,10/28/2021,10227,569
Rafaelita Blaksland,USA,Choco Coated Almonds,10/28/2021,2555,233
Andria Kimpton,Canada,White Choc,10/28/2021,77,7
Barr Faughny,Canada,Fruit & Nut Bars,10/28/2021,5138,343
Dennison Crosswaite,New Zealand,After Nines,10/28/2021,6930,408
Jehu Rudeforth,New Zealand,50% Dark Bites,10/28/2021,5817,233
Curtice Advani,India,50% Dark Bites,10/28/2021,4445,171
Brien Boise,New Zealand,Orange Choco,10/28/2021,23702,1190
Jehu Rudeforth,Canada,Eclairs,10/28/2021,12236,2030
Curtice Advani,UK,After Nines,10/28/2021,13244,840
Wilone O'Kielt,India,Eclairs,10/28/2021,5236,840
Oby Sorrel,USA,Raspberry Choco,10/28/2021,833,38
Kaine Padly,UK,Organic Choco Syrup,10/28/2021,5271,240
Karlen McCaffrey,Canada,Manuka Honey Choco,10/28/2021,2142,98
Oby Sorrel,Australia,Fruit & Nut Bars,10/28/2021,12733,770
Gunar Cockshoot,USA,99% Dark & Pure,10/28/2021,203,9
Ches Bonnell,New Zealand,Fruit & Nut Bars,10/28/2021,259,18
Dennison Crosswaite,New Zealand,85% Dark Bars,10/28/2021,4557,228
Husein Augar,Canada,Choco Coated Almonds,10/28/2021,5656,472
Beverie Moffet,Canada,50% Dark Bites,10/28/2021,6496,260
Curtice Advani,USA,70% Dark Bites,10/28/2021,2849,317
Van Tuxwell,India,50% Dark Bites,10/28/2021,3514,136
Dotty Strutley,UK,Almond Choco,10/28/2021,4438,278
Oby Sorrel,Australia,Choco Coated Almonds,10/28/2021,1904,191
Rafaelita Blaksland,Australia,Milk Bars,10/28/2021,7665,451
Rafaelita Blaksland,Canada,Baker's Choco Chips,10/28/2021,13671,570
Madelene Upcott,Australia,Almond Choco,10/28/2021,13244,840
Barr Faughny,UK,99% Dark & Pure,10/28/2021,7518,314
Jehu Rudeforth,Australia,Mint Chip Choco,10/28/2021,6650,555
Camilla Castle,New Zealand,Baker's Choco Chips,10/28/2021,5943,271
Dotty Strutley,USA,Milk Bars,10/28/2021,14154,910
Curtice Advani,New Zealand,Peanut Butter Cubes,10/28/2021,11508,606
Karlen McCaffrey,India,Choco Coated Almonds,10/28/2021,6300,630
Van Tuxwell,Australia,White Choc,10/29/2021,315,27
Dennison Crosswaite,Canada,Caramel Stuffed Bars,10/29/2021,1022,64
Oby Sorrel,New Zealand,White Choc,10/29/2021,3850,321
Oby Sorrel,Canada,Spicy Special Slims,10/29/2021,1841,185
Camilla Castle,UK,Spicy Special Slims,10/29/2021,2191,274
Barr Faughny,UK,Choco Coated Almonds,10/29/2021,5943,595
Barr Faughny,New Zealand,Raspberry Choco,10/29/2021,5635,282
Gigi Bohling,India,Almond Choco,10/29/2021,350,22
Wilone O'Kielt,USA,Mint Chip Choco,10/29/2021,10500,770
Roddy Speechley,India,Peanut Butter Cubes,10/29/2021,9107,506
Ches Bonnell,New Zealand,Baker's Choco Chips,10/29/2021,1169,51
Dennison Crosswaite,India,Manuka Honey Choco,10/29/2021,2191,96
Kelci Walkden,New Zealand,Milk Bars,10/29/2021,6475,432
Barr Faughny,Australia,Organic Choco Syrup,10/29/2021,2751,126
Gunar Cockshoot,UK,Spicy Special Slims,10/29/2021,3346,372
Camilla Castle,Canada,70% Dark Bites,11/1/2021,5124,570
Jehu Rudeforth,UK,Organic Choco Syrup,11/1/2021,168,7
Ches Bonnell,USA,Fruit & Nut Bars,11/1/2021,7252,454
Rafaelita Blaksland,India,99% Dark & Pure,11/1/2021,5243,228
Dotty Strutley,New Zealand,Almond Choco,11/1/2021,3248,203
Wilone O'Kielt,New Zealand,50% Dark Bites,11/1/2021,5397,200
Brien Boise,Australia,Mint Chip Choco,11/1/2021,5117,394
Oby Sorrel,Australia,Eclairs,11/1/2021,231,29
Wilone O'Kielt,USA,Baker's Choco Chips,11/1/2021,6503,283
Roddy Speechley,UK,Orange Choco,11/1/2021,10717,536
Wilone O'Kielt,UK,50% Dark Bites,11/1/2021,7917,305
Camilla Castle,India,Orange Choco,11/1/2021,15764,910
Husein Augar,Canada,Fruit & Nut Bars,11/1/2021,11340,770
Beverie Moffet,New Zealand,85% Dark Bars,11/1/2021,5530,292
Van Tuxwell,New Zealand,70% Dark Bites,11/1/2021,2149,239
Dennison Crosswaite,Canada,Mint Chip Choco,11/2/2021,1855,155
Brien Boise,Australia,99% Dark & Pure,11/2/2021,6174,269
Mallorie Waber,UK,Baker's Choco Chips,11/2/2021,9814,447
Rafaelita Blaksland,India,Peanut Butter Cubes,11/2/2021,10220,602
Jan Morforth,Australia,Eclairs,11/2/2021,294,49
Dotty Strutley,UK,Choco Coated Almonds,11/2/2021,9226,910
Curtice Advani,Australia,50% Dark Bites,11/2/2021,8701,349
Dotty Strutley,Canada,Raspberry Choco,11/2/2021,6139,307
Husein Augar,India,Raspberry Choco,11/2/2021,3675,175
Karlen McCaffrey,India,Eclairs,11/2/2021,10164,1470
Kelci Walkden,Australia,After Nines,11/2/2021,16751,980
Jehu Rudeforth,UK,Raspberry Choco,11/2/2021,14476,700
Camilla Castle,Australia,Spicy Special Slims,11/2/2021,8883,980
Ches Bonnell,Australia,50% Dark Bites,11/2/2021,4991,185
Karlen McCaffrey,UK,Caramel Stuffed Bars,11/2/2021,10213,601
Dotty Strutley,USA,Eclairs,11/2/2021,11557,1960
Brien Boise,USA,Almond Choco,11/2/2021,5110,320
Mallorie Waber,Canada,Baker's Choco Chips,11/2/2021,5740,250
Van Tuxwell,Canada,White Choc,11/2/2021,15295,1190
Brien Boise,Australia,Peanut Butter Cubes,11/2/2021,2737,153
Dotty Strutley,USA,Mint Chip Choco,11/2/2021,1946,150
Andria Kimpton,Australia,Peanut Butter Cubes,11/2/2021,8232,434
Gunar Cockshoot,India,Choco Coated Almonds,11/2/2021,637,64
Roddy Speechley,Australia,85% Dark Bars,11/2/2021,9681,510
Wilone O'Kielt,New Zealand,Smooth Sliky Salty,11/2/2021,13048,2170
Andria Kimpton,UK,Mint Chip Choco,11/2/2021,1106,86
Wilone O'Kielt,USA,Drinking Coco,11/2/2021,5656,218
Kelci Walkden,UK,White Choc,11/2/2021,693,63
Brien Boise,USA,Spicy Special Slims,11/2/2021,10143,1260
Kaine Padly,USA,Fruit & Nut Bars,11/2/2021,2058,147
Van Tuxwell,USA,Organic Choco Syrup,11/2/2021,9331,389
Andria Kimpton,UK,Choco Coated Almonds,11/2/2021,2870,240
Oby Sorrel,UK,Drinking Coco,11/2/2021,2163,84
Van Tuxwell,UK,Raspberry Choco,11/2/2021,10241,466
Brien Boise,UK,Organic Choco Syrup,11/2/2021,1134,50
Curtice Advani,Australia,Baker's Choco Chips,11/2/2021,2814,118
Ches Bonnell,UK,Drinking Coco,11/2/2021,14609,585
Andria Kimpton,New Zealand,99% Dark & Pure,11/2/2021,9058,394
Marney O'Breen,New Zealand,Organic Choco Syrup,11/2/2021,4711,197
Van Tuxwell,USA,Orange Choco,11/2/2021,2310,116
Gigi Bohling,Canada,Smooth Sliky Salty,11/2/2021,3668,612
Dotty Strutley,India,Mint Chip Choco,11/2/2021,8379,599
Marney O'Breen,Australia,Drinking Coco,11/2/2021,7868,303
Marney O'Breen,Canada,Fruit & Nut Bars,11/2/2021,3535,221
Gigi Bohling,Australia,Fruit & Nut Bars,11/2/2021,4277,286
Roddy Speechley,USA,Almond Choco,11/2/2021,1890,135
Dotty Strutley,Canada,Choco Coated Almonds,11/2/2021,2149,196
Curtice Advani,India,Caramel Stuffed Bars,11/2/2021,595,35
Husein Augar,UK,Caramel Stuffed Bars,11/2/2021,4438,262
Karlen McCaffrey,UK,85% Dark Bars,11/2/2021,2863,151
Wilone O'Kielt,Australia,Milk Bars,11/2/2021,5964,373
Gunar Cockshoot,Canada,Baker's Choco Chips,11/2/2021,5341,243
Camilla Castle,USA,Manuka Honey Choco,11/2/2021,10556,480
Curtice Advani,UK,White Choc,11/2/2021,7476,576
Karlen McCaffrey,USA,Almond Choco,11/2/2021,210,14
Wilone O'Kielt,UK,After Nines,11/2/2021,2611,154
Curtice Advani,Australia,Raspberry Choco,11/2/2021,812,41
Ches Bonnell,USA,99% Dark & Pure,11/2/2021,6853,312
Karlen McCaffrey,Canada,Peanut Butter Cubes,11/2/2021,9632,567
Jan Morforth,USA,50% Dark Bites,11/2/2021,2163,87
Mallorie Waber,Australia,Spicy Special Slims,11/2/2021,280,28
Dotty Strutley,Australia,Almond Choco,11/2/2021,140,10
Camilla Castle,Australia,Choco Coated Almonds,11/3/2021,3388,308
Marney O'Breen,Canada,70% Dark Bites,11/3/2021,2723,389
Marney O'Breen,Australia,70% Dark Bites,11/3/2021,14826,2100
Husein Augar,New Zealand,50% Dark Bites,11/3/2021,371,14
Beverie Moffet,USA,99% Dark & Pure,11/3/2021,7182,327
Karlen McCaffrey,USA,Organic Choco Syrup,11/3/2021,10941,498
Rafaelita Blaksland,Canada,Raspberry Choco,11/3/2021,5523,252
Marney O'Breen,UK,Peanut Butter Cubes,11/3/2021,7623,402
Karlen McCaffrey,Australia,Organic Choco Syrup,11/3/2021,1596,73
Beverie Moffet,New Zealand,Smooth Sliky Salty,11/3/2021,1267,159
Jehu Rudeforth,Australia,Drinking Coco,11/3/2021,5824,224
Roddy Speechley,Australia,Orange Choco,11/3/2021,6237,312
Andria Kimpton,Australia,Spicy Special Slims,11/3/2021,9688,1050
Oby Sorrel,UK,Peanut Butter Cubes,11/3/2021,10857,604
Dotty Strutley,Canada,Mint Chip Choco,11/3/2021,14868,1050
Van Tuxwell,India,White Choc,11/3/2021,917,77
Jan Morforth,Australia,Smooth Sliky Salty,11/3/2021,11543,1680
Husein Augar,USA,After Nines,11/3/2021,4193,233
Jan Morforth,USA,70% Dark Bites,11/3/2021,7784,980
Oby Sorrel,Canada,Baker's Choco Chips,11/3/2021,10346,450
Gigi Bohling,USA,Eclairs,11/3/2021,2352,336
Dotty Strutley,Canada,50% Dark Bites,11/3/2021,259,10
Andria Kimpton,Australia,Manuka Honey Choco,11/3/2021,3262,156
Kaine Padly,USA,Drinking Coco,11/3/2021,4963,184
Kelci Walkden,India,Raspberry Choco,11/3/2021,4326,206
Beverie Moffet,USA,Fruit & Nut Bars,11/3/2021,7504,501
Husein Augar,USA,Raspberry Choco,11/3/2021,14329,700
Curtice Advani,Canada,Orange Choco,11/3/2021,5593,295
Jan Morforth,Canada,Eclairs,11/3/2021,2114,302
Rafaelita Blaksland,USA,Eclairs,11/3/2021,8435,1050
Dennison Crosswaite,New Zealand,Fruit & Nut Bars,11/3/2021,5817,416
Brien Boise,UK,85% Dark Bars,11/3/2021,7028,352
Van Tuxwell,New Zealand,Manuka Honey Choco,11/3/2021,2765,132
Beverie Moffet,Canada,Mint Chip Choco,11/3/2021,1365,98
Van Tuxwell,India,Drinking Coco,11/3/2021,15050,602
Oby Sorrel,Canada,85% Dark Bars,11/3/2021,6237,312
Roddy Speechley,Canada,Baker's Choco Chips,11/3/2021,1708,72
Dotty Strutley,Australia,Raspberry Choco,11/3/2021,1575,72
Roddy Speechley,Canada,99% Dark & Pure,11/3/2021,16513,770
Andria Kimpton,UK,Drinking Coco,11/3/2021,12033,463
Curtice Advani,Canada,50% Dark Bites,11/3/2021,1365,51
Beverie Moffet,Australia,Eclairs,11/3/2021,6433,910
Gunar Cockshoot,New Zealand,Caramel Stuffed Bars,11/3/2021,7560,445
Camilla Castle,Australia,Peanut Butter Cubes,11/3/2021,9058,504
Camilla Castle,India,Almond Choco,11/4/2021,2471,155
Rafaelita Blaksland,Canada,85% Dark Bars,11/4/2021,4830,242
Oby Sorrel,Australia,Spicy Special Slims,11/4/2021,6153,684
Rafaelita Blaksland,Canada,Fruit & Nut Bars,11/4/2021,2100,132
Husein Augar,Canada,Milk Bars,11/4/2021,4095,273
Wilone O'Kielt,Australia,Raspberry Choco,11/4/2021,1029,49
Oby Sorrel,India,Manuka Honey Choco,11/4/2021,5964,272
Marney O'Breen,Canada,Smooth Sliky Salty,11/4/2021,6076,980
Karlen McCaffrey,USA,Orange Choco,11/4/2021,10423,522
Dennison Crosswaite,India,Mint Chip Choco,11/4/2021,658,51
Husein Augar,New Zealand,Organic Choco Syrup,11/4/2021,1288,59
Van Tuxwell,USA,Milk Bars,11/4/2021,4879,326
Jehu Rudeforth,Australia,Milk Bars,11/4/2021,2030,127
Barr Faughny,Australia,85% Dark Bars,11/4/2021,756,40
Curtice Advani,New Zealand,85% Dark Bars,11/4/2021,4207,234
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,11/4/2021,10528,770
Barr Faughny,UK,Spicy Special Slims,11/4/2021,5593,700
Roddy Speechley,New Zealand,Spicy Special Slims,11/4/2021,3794,380
Andria Kimpton,India,Mint Chip Choco,11/4/2021,4277,306
Gigi Bohling,UK,Orange Choco,11/4/2021,5075,282
Beverie Moffet,USA,Drinking Coco,11/4/2021,1841,69
Roddy Speechley,Canada,Organic Choco Syrup,11/4/2021,3549,148
Rafaelita Blaksland,UK,Orange Choco,11/4/2021,5383,284
Karlen McCaffrey,Australia,50% Dark Bites,11/4/2021,10472,419
Rafaelita Blaksland,New Zealand,Milk Bars,11/4/2021,2464,145
Mallorie Waber,Canada,70% Dark Bites,11/4/2021,4151,593
Beverie Moffet,India,99% Dark & Pure,11/4/2021,1064,45
Andria Kimpton,USA,Baker's Choco Chips,11/4/2021,1764,77
Ches Bonnell,Australia,Baker's Choco Chips,11/4/2021,8134,339
Van Tuxwell,Canada,50% Dark Bites,11/4/2021,9625,371
Gigi Bohling,Australia,Choco Coated Almonds,11/4/2021,9639,770
Kaine Padly,India,Choco Coated Almonds,11/4/2021,1932,194
Gigi Bohling,Australia,White Choc,11/4/2021,10003,770
Brien Boise,India,99% Dark & Pure,11/4/2021,9919,432
Marney O'Breen,India,50% Dark Bites,11/4/2021,4851,180
Mallorie Waber,Australia,Manuka Honey Choco,11/4/2021,1610,77
Mallorie Waber,USA,Almond Choco,11/4/2021,3689,264
Gunar Cockshoot,USA,Choco Coated Almonds,11/4/2021,2555,256
Marney O'Breen,Australia,Spicy Special Slims,11/4/2021,2485,249
Husein Augar,India,99% Dark & Pure,11/5/2021,2933,123
Van Tuxwell,India,Fruit & Nut Bars,11/5/2021,7378,527
Ches Bonnell,USA,Baker's Choco Chips,11/5/2021,9744,406
Husein Augar,New Zealand,After Nines,11/5/2021,7588,447
Andria Kimpton,Canada,After Nines,11/5/2021,14672,840
Barr Faughny,Canada,Milk Bars,11/5/2021,3724,220
Wilone O'Kielt,UK,Manuka Honey Choco,11/5/2021,1421,68
Roddy Speechley,UK,70% Dark Bites,11/5/2021,11648,1470
Husein Augar,New Zealand,Fruit & Nut Bars,11/5/2021,6216,444
Wilone O'Kielt,USA,Choco Coated Almonds,11/5/2021,3290,300
Van Tuxwell,Australia,After Nines,11/5/2021,1778,99
Kaine Padly,India,Almond Choco,11/5/2021,13587,980
Jehu Rudeforth,New Zealand,85% Dark Bars,11/5/2021,1029,58
Roddy Speechley,India,Smooth Sliky Salty,11/5/2021,9261,1330
Karlen McCaffrey,UK,Peanut Butter Cubes,11/5/2021,13776,700
Husein Augar,USA,White Choc,11/5/2021,16555,1260
Dotty Strutley,Canada,Peanut Butter Cubes,11/5/2021,4536,252
Kaine Padly,UK,Baker's Choco Chips,11/5/2021,8162,341
Husein Augar,UK,Choco Coated Almonds,11/5/2021,350,32
Oby Sorrel,Australia,70% Dark Bites,11/5/2021,5110,700
Brien Boise,New Zealand,Raspberry Choco,11/5/2021,4326,217
Roddy Speechley,India,Baker's Choco Chips,11/5/2021,595,26
Karlen McCaffrey,UK,Almond Choco,11/5/2021,5551,347
Camilla Castle,India,Organic Choco Syrup,11/5/2021,13188,550
Ches Bonnell,UK,Organic Choco Syrup,11/5/2021,1099,50
Roddy Speechley,Australia,Eclairs,11/5/2021,13839,2310
Rafaelita Blaksland,USA,70% Dark Bites,11/5/2021,14868,2100
Dennison Crosswaite,Australia,Caramel Stuffed Bars,11/5/2021,2814,166
Beverie Moffet,Canada,Baker's Choco Chips,11/5/2021,5691,238
Rafaelita Blaksland,UK,Baker's Choco Chips,11/5/2021,2331,98
Karlen McCaffrey,USA,Manuka Honey Choco,11/5/2021,532,25
Kaine Padly,Canada,Peanut Butter Cubes,11/5/2021,13846,840
Wilone O'Kielt,Canada,Raspberry Choco,11/5/2021,7854,374
Dennison Crosswaite,New Zealand,Smooth Sliky Salty,11/5/2021,2037,291
Rafaelita Blaksland,India,70% Dark Bites,11/5/2021,5425,679
Jan Morforth,USA,Baker's Choco Chips,11/5/2021,1232,56
Dennison Crosswaite,USA,Caramel Stuffed Bars,11/5/2021,5320,313
Oby Sorrel,Canada,Raspberry Choco,11/5/2021,0,0
Rafaelita Blaksland,India,Organic Choco Syrup,11/5/2021,4767,208
Wilone O'Kielt,India,50% Dark Bites,11/5/2021,7049,262
Brien Boise,India,85% Dark Bars,11/5/2021,168,9
Kaine Padly,Canada,Choco Coated Almonds,11/5/2021,3542,355
Oby Sorrel,Canada,Drinking Coco,11/5/2021,8407,324
Andria Kimpton,Australia,Eclairs,11/5/2021,4655,770
Gigi Bohling,UK,85% Dark Bars,11/5/2021,3990,222
Marney O'Breen,Australia,Organic Choco Syrup,11/5/2021,4900,214
Van Tuxwell,Canada,70% Dark Bites,11/5/2021,5362,770
Andria Kimpton,Canada,Almond Choco,11/5/2021,8057,576
Madelene Upcott,UK,Spicy Special Slims,11/5/2021,4585,574
Madelene Upcott,USA,70% Dark Bites,11/5/2021,5082,700
Kaine Padly,New Zealand,Peanut Butter Cubes,11/5/2021,5747,303
Jehu Rudeforth,India,Eclairs,11/5/2021,5467,910
Oby Sorrel,Canada,White Choc,11/5/2021,1722,157
Brien Boise,USA,Milk Bars,11/5/2021,5733,338
Wilone O'Kielt,Australia,Eclairs,11/5/2021,5208,770
Madelene Upcott,USA,White Choc,11/5/2021,1302,109
Andria Kimpton,Canada,Mint Chip Choco,11/5/2021,322,27
Jan Morforth,USA,Caramel Stuffed Bars,11/5/2021,2100,140
Gigi Bohling,Canada,85% Dark Bars,11/5/2021,11907,596
Dotty Strutley,Australia,70% Dark Bites,11/5/2021,10171,1120
Mallorie Waber,USA,Drinking Coco,11/5/2021,11662,467
Jan Morforth,USA,Choco Coated Almonds,11/8/2021,5698,518
Kaine Padly,India,White Choc,11/8/2021,1876,157
Roddy Speechley,Canada,Peanut Butter Cubes,11/8/2021,14287,770
Barr Faughny,New Zealand,Spicy Special Slims,11/8/2021,10255,1260
Karlen McCaffrey,UK,Organic Choco Syrup,11/8/2021,2191,96
Husein Augar,India,Drinking Coco,11/8/2021,6629,266
Madelene Upcott,India,50% Dark Bites,11/8/2021,9800,363
Karlen McCaffrey,New Zealand,Eclairs,11/8/2021,6132,1050
Van Tuxwell,Canada,Baker's Choco Chips,11/8/2021,5999,273
Ches Bonnell,UK,70% Dark Bites,11/8/2021,1281,143
Dennison Crosswaite,Canada,Fruit & Nut Bars,11/8/2021,5201,326
Mallorie Waber,UK,Orange Choco,11/8/2021,9331,519
Van Tuxwell,Canada,Choco Coated Almonds,11/8/2021,1442,132
Beverie Moffet,India,Choco Coated Almonds,11/8/2021,987,99
Roddy Speechley,India,Caramel Stuffed Bars,11/8/2021,3213,189
Ches Bonnell,Canada,Drinking Coco,11/8/2021,12376,459
Kaine Padly,USA,Spicy Special Slims,11/8/2021,5789,579
Kelci Walkden,USA,Fruit & Nut Bars,11/8/2021,630,45
Kelci Walkden,Canada,After Nines,11/8/2021,413,25
Kelci Walkden,UK,Milk Bars,11/8/2021,7357,433
Curtice Advani,Australia,Caramel Stuffed Bars,11/9/2021,8281,488
Oby Sorrel,UK,Eclairs,11/9/2021,5348,669
Jan Morforth,USA,99% Dark & Pure,11/9/2021,7504,327
Mallorie Waber,India,Caramel Stuffed Bars,11/9/2021,4060,254
Karlen McCaffrey,New Zealand,85% Dark Bars,11/9/2021,756,38
Dennison Crosswaite,UK,Manuka Honey Choco,11/9/2021,1603,70
Jehu Rudeforth,New Zealand,Peanut Butter Cubes,11/9/2021,2786,155
Karlen McCaffrey,Australia,Orange Choco,11/9/2021,3304,166
Beverie Moffet,USA,Milk Bars,11/9/2021,5348,335
Kelci Walkden,New Zealand,Drinking Coco,11/9/2021,1344,54
Kaine Padly,Australia,85% Dark Bars,11/9/2021,4571,241
Wilone O'Kielt,Australia,Baker's Choco Chips,11/9/2021,4641,202
Jehu Rudeforth,New Zealand,Fruit & Nut Bars,11/9/2021,1638,117
Mallorie Waber,India,Raspberry Choco,11/9/2021,8442,384
Karlen McCaffrey,India,After Nines,11/9/2021,1512,89
Jehu Rudeforth,Canada,99% Dark & Pure,11/9/2021,1218,51
Marney O'Breen,Australia,Raspberry Choco,11/9/2021,7700,367
Mallorie Waber,USA,Manuka Honey Choco,11/9/2021,8414,366
Van Tuxwell,USA,White Choc,11/9/2021,1771,148
Jan Morforth,New Zealand,Smooth Sliky Salty,11/9/2021,12551,2100
Camilla Castle,New Zealand,Organic Choco Syrup,11/9/2021,609,27
Jehu Rudeforth,New Zealand,Organic Choco Syrup,11/9/2021,4865,203
Madelene Upcott,Canada,Eclairs,11/9/2021,1939,277
Wilone O'Kielt,UK,Spicy Special Slims,11/9/2021,4865,609
Camilla Castle,Australia,70% Dark Bites,11/9/2021,5656,840
Gunar Cockshoot,Canada,99% Dark & Pure,11/9/2021,3479,145
Camilla Castle,USA,Baker's Choco Chips,11/9/2021,21,1
Karlen McCaffrey,UK,Milk Bars,11/10/2021,7119,475
Madelene Upcott,UK,Manuka Honey Choco,11/10/2021,2422,111
Barr Faughny,Canada,Raspberry Choco,11/10/2021,4354,198
Karlen McCaffrey,New Zealand,White Choc,11/10/2021,10080,910
Ches Bonnell,Australia,Smooth Sliky Salty,11/10/2021,6517,840
Beverie Moffet,India,Organic Choco Syrup,11/10/2021,6475,270
Gigi Bohling,USA,Peanut Butter Cubes,11/10/2021,5789,305
Oby Sorrel,India,Organic Choco Syrup,11/10/2021,8764,366
Ches Bonnell,New Zealand,85% Dark Bars,11/10/2021,6181,344
Marney O'Breen,UK,Choco Coated Almonds,11/10/2021,4480,448
Gigi Bohling,New Zealand,Baker's Choco Chips,11/10/2021,3528,147
Curtice Advani,India,Baker's Choco Chips,11/10/2021,5418,226
Beverie Moffet,UK,85% Dark Bars,11/10/2021,5327,296
Jehu Rudeforth,USA,Manuka Honey Choco,11/10/2021,3675,160
Karlen McCaffrey,UK,Baker's Choco Chips,11/10/2021,6307,263
Marney O'Breen,Canada,Spicy Special Slims,11/10/2021,7343,910
Rafaelita Blaksland,Canada,White Choc,11/10/2021,4214,352
Jehu Rudeforth,USA,After Nines,11/10/2021,3073,181
Dennison Crosswaite,Australia,70% Dark Bites,11/10/2021,5810,840
Jan Morforth,USA,Raspberry Choco,11/10/2021,1078,49
Beverie Moffet,Australia,70% Dark Bites,11/10/2021,5019,558
Ches Bonnell,Australia,Almond Choco,11/10/2021,2800,175
Mallorie Waber,Australia,Raspberry Choco,11/10/2021,10633,484
Gunar Cockshoot,UK,Milk Bars,11/10/2021,1666,105
Jan Morforth,New Zealand,Raspberry Choco,11/10/2021,5131,257
Husein Augar,UK,70% Dark Bites,11/10/2021,2527,361
Curtice Advani,Canada,Spicy Special Slims,11/10/2021,1491,166
Andria Kimpton,Australia,After Nines,11/10/2021,2422,143
Rafaelita Blaksland,Australia,99% Dark & Pure,11/10/2021,12838,535
Jehu Rudeforth,USA,85% Dark Bars,11/10/2021,18249,980
Marney O'Breen,New Zealand,Spicy Special Slims,11/10/2021,1624,203
